index,North,South,West,East,ND,SD,WD,ED
1,2,,,,2,,,
2,3,1,9,,2,2,2,
3,4,2,,,2,2,,
4,5,3,11,,2,2,2,
5,6,4,12,,2,2,2,
6,,5,,,,2,,
7,,,35,,,,8,
8,,,15,,,,2,
9,10,,,2,2,,,2
10,,9,24,,,2,4,
11,,,,4,,,,2
12,13,,,5,2,,,2
13,,12,20,,,2,2,
15,16,,,8,2,,,2
16,,15,23,,,2,2,
18,19,,25,,2,,2,
19,20,18,26,,2,2,2,
20,,19,,13,,2,,2
22,23,,,,2,,,
23,24,22,,16,2,2,,2
24,25,23,,10,2,2,,4
25,,24,32,18,,2,2,2
26,27,,33,19,2,,2,2
27,,26,34,,,2,2,
29,30,,36,,2,,2,
30,31,29,,,2,2,,
31,32,30,,,2,2,,
32,,31,,25,,2,,2
33,,,,26,,,,2
34,35,,,27,2,,,2
35,,34,42,7,,2,2,8
36,37,,43,29,2,,2,2
37,38,36,44,,2,2,2,
38,,37,,,,2,,
39,40,,,,2,,,
40,41,39,47,,2,2,2,
41,,40,,,,2,,
42,,,49,35,,,2,2
43,,,,36,,,,2
44,47,,,37,6,,,2
47,48,44,,40,2,6,,2
48,49,47,,,2,2,,
49,,48,,42,,2,,2
